timestamp,ip_address,user_agent,url_path,http_method,response_code,bytes_sent,referrer,session_id,country_code
2025-04-05T03:31:14.948446,89.154.37.5,Mozilla/5.0 (Windows NT 10.0; Win64; x64),/search?q=celular,GET,200,15497,http://roberts.com/,fe6b9eed-a628-4ee7-b0bd-5837fa2c76ae,US
2025-04-04T21:00:55.863044,156.7.6.181,Mozilla/5.0 (Linux; Android 11; Pixel 5),/item/67890,GET,200,6329,https://brown-ritter.com/register.htm,5e2dee2a-8537-46af-9ff7-20d66ac3801c,CL
2025-04-04T02:42:04.771155,69.156.251.9,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),/profile,GET,200,12382,http://marquez.com/list/search.html,45de430d-1a89-409e-bb5a-c76d93443c12,AR
2025-04-01T09:47:54.905328,59.245.81.214,Mozilla/5.0 (Linux; Android 11; Pixel 5),/home,GET,404,22448,http://www.carr.info/tag/explore/post/,bcbb3355-84d6-4d60-b420-e6565b872950,CL
2025-04-02T16:57:34.084610,135.166.97.174,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),/category/electronics,GET,200,10812,https://www.schmitt.org/homepage.html,0b1b1b3b-8b16-4955-9c59-fdce6bdb243c,CL
2025-04-01T04:06:37.604400,192.168.0.254,curl/7.68.0,/item/10166,GET,200,757,,3aa5af8f-94c7-4ead-9f99-2d8d39af004a,??
2025-04-02T04:10:29.739516,203.156.169.29,Mozilla/5.0 (Linux; Android 11; Pixel 5),/checkout,GET,200,1320,http://www.douglas-clark.com/author.htm,a2e11156-d848-4481-8075-338cd10a7147,US
2025-04-01T03:37:37.633458,67.3.223.148,Mozilla/5.0 (Windows NT 10.0; Win64; x64),/category/electronics,POST,200,4820,https://perry.info/,c9ac0911-4207-4e4f-8fd5-4714314969e5,AR
2025-04-02T04:04:06.520965,53.217.218.214,Mozilla/5.0 (Windows NT 10.0; Win64; x64),/orders,GET,301,2047,http://www.rogers-perez.com/about.htm,abccc885-6739-4241-a579-0d599854afef,BR
2025-04-01T00:12:28.954939,5.153.190.215,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7; rv:85.0) Gecko/20100101 Firefox/85.0,/item/10007,GET,200,559,https://www.mercadolibre.com/,f9d589a3-275e-4bfa-babf-d38dffdf3888,US
2025-04-01T21:07:11.010020,58.107.190.252,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),/checkout,GET,200,5551,http://www.reyes-bishop.com/home.php,7eff594a-7596-4085-b61f-4e4505f2bfc7,US
2025-04-02T08:27:38.799826,136.37.128.108,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),/search?q=notebook,GET,200,20690,http://www.powers.info/terms.html,720343fc-ef2a-4add-891a-dff6ce49beec,AR
2025-04-01T07:27:32.093201,183.126.108.128,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7; rv:85.0) Gecko/20100101 Firefox/85.0,/item/10004,GET,200,2116,https://www.mercadolibre.com/,cbe44f1c-b497-49a0-bc05-2e871f4c2824,CL
2025-04-01T00:16:37.813132,157.13.242.135,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),/home,GET,200,9256,http://www.taylor-mccoy.com/,37fe032c-0257-4851-a6a9-e100b509109b,US
2025-04-03T23:57:11.877995,128.39.242.17,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),/category/electronics,GET,200,8370,http://payne.biz/,de20a854-cdfa-4976-a89b-79fd84cbc239,US
2025-04-01T21:14:11.966807,58.116.56.195,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),/orders,GET,200,12188,https://www.harrison.info/privacy.htm,23de22cf-f069-4eed-9fe6-a9f3df897039,US
2025-04-01T02:15:46.136452,192.168.0.244,curl/7.68.0,/item/10170,GET,200,18231,,f56928af-96ae-40e7-b674-6ffaabf50949,??
2025-04-03T16:29:13.840746,19.28.189.255,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),/orders,GET,404,4403,http://shepard.com/category/app/about/,22e7670f-db97-4453-836e-3f33412b488e,BR
2025-04-01T19:25:10.240742,152.17.230.241,Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X),/item/12345,GET,200,6035,http://www.porter-peters.com/,03060119-9d24-4f66-bdb5-6b5747e55976,UY
2025-04-01T19:05:54.422685,232.46.4.5,Mozilla/5.0 (Windows NT 10.0; Win64; x64),/search?q=notebook,GET,404,2982,http://www.smith-young.com/,3afa1887-b861-4950-9dcf-244cd5d7cde2,BR
2025-04-01T16:42:27.921774,37.4.201.81,Mozilla/5.0 (Windows NT 10.0; Win64; x64) HeadlessChrome/90.0,/item/10024,GET,200,8798,https://www.mercadolibre.com/,cd99be1f-2444-4018-a26a-fc7aff9a5de0,UY
2025-04-01T01:26:51.402917,192.168.0.24,Scrapy/2.5.0 (+https://scrapy.org),/item/10068,GET,500,4386,,bot-session-1401,??
2025-04-01T02:24:22.276990,1.176.208.60,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),/orders,GET,200,7186,https://www.schwartz.info/explore/app/author/,7a77a4de-c6a1-41ef-a459-bf966d473b55,US
2025-04-01T09:27:26.843080,199.163.122.211,Mozilla/5.0 (Windows NT 10.0; Win64; x64),/item/10164,GET,200,17135,https://listado.mercadolibre.com/ar/,519a8d71-ac51-4ba9-b684-0806ea6b8caa,AR
2025-04-01T15:33:23.214142,220.59.245.111,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),/orders,GET,200,4531,https://dunn.com/privacy/,508a04ad-8cc0-4ee7-9667-ae69fc30bdf2,BR
2025-04-04T10:34:48.966472,64.66.148.105,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),/profile,GET,200,1600,https://anderson.info/category/search/blog/privacy.html,1a078ce0-38db-4318-946d-59b603139c3c,CL
2025-04-03T01:13:41.349774,43.72.234.209,Mozilla/5.0 (Windows NT 10.0; Win64; x64),/item/67890,POST,200,1720,http://www.hernandez.com/about/,a72ca6b1-8262-4149-8880-31cb284f5b87,CL
2025-04-01T04:09:41.098579,192.168.0.80,Go-http-client/1.1,/item/10137,GET,200,10801,,6e9782c6-cc32-4988-92a0-10806174407e,??
2025-04-01T16:38:43.054153,36.121.242.52,Mozilla/5.0 (Linux; Android 11; Pixel 5),/category/electronics,GET,200,1869,http://cruz.net/tag/register.jsp,5851a8b0-4680-450f-8bac-bebbcf1620c2,US
2025-04-04T13:19:05.605064,96.99.245.207,Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X),/item/67890,GET,500,18019,https://stone-le.net/,28adb7ac-4a0c-4e4b-aa97-7a2894b013c9,UY
2025-04-01T02:55:43.225690,192.168.0.198,Scrapy/2.5.0 (+https://scrapy.org),/item/10139,GET,200,784,,f64f0385-1f54-4660-92ef-1eaa9dad65d9,??
2025-04-01T18:59:14.726639,167.171.226.176,Mozilla/5.0 (Windows NT 10.0; Win64; x64),/orders,GET,200,19416,https://www.anderson.com/,e148eb4e-0d9c-4e21-9b82-fc0d71b2f946,BR
2025-04-01T08:18:17.191770,41.127.46.114,Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X),/item/10166,GET,200,6092,http://turner.com/index/,342ae3c5-126b-47b2-9f00-5c4fcba30070,UY
2025-04-04T10:01:24.628293,224.251.180.26,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),/item/67890,POST,200,13146,http://johnson.net/app/privacy.htm,c6853e93-d765-4cfb-bd02-a005387a0a2b,US
2025-04-04T13:03:16.668109,3.159.209.93,Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X),/item/67890,GET,200,7171,http://www.dalton.com/login/,176490f8-0e7f-4c5d-bef8-7317f72a56b6,CL
2025-04-02T19:04:16.983370,158.105.68.29,Mozilla/5.0 (Linux; Android 11; Pixel 5),/home,GET,200,956,https://chan.org/app/tag/register/,9a0caa29-d0f9-4a5d-8714-87a8fde39298,UY
2025-04-01T00:30:38.159506,192.168.0.58,curl/7.68.0,/item/10017,GET,200,846,,9f9029b2-8e6b-4331-87d0-1737ce615c61,??
2025-04-03T17:16:18.827290,74.143.142.227,Mozilla/5.0 (Linux; Android 11; Pixel 5),/category/electronics,GET,200,1871,http://austin.com/tag/index.jsp,e0decdfc-2cea-4844-9a9f-51f7643f66c1,CL
